,forecast
2025-10-22 16:15:00,23602.24781855941
2025-10-22 16:20:00,23602.247377872467
2025-10-22 16:25:00,23602.24781855941
2025-10-22 16:30:00,23602.247377872467
2025-10-22 16:35:00,23602.247377872467
2025-10-22 16:40:00,23602.247377872467
2025-10-22 16:45:00,23602.247377872467
2025-10-22 16:50:00,23602.247377872467
2025-10-22 16:55:00,23602.247377872467
2025-10-22 17:00:00,23602.247377872467
2025-10-22 17:05:00,23602.247377872467
2025-10-22 17:10:00,23602.247377872467
2025-10-22 17:15:00,23602.246937185526
2025-10-22 17:20:00,23602.247377872467
2025-10-22 17:25:00,23602.246937185526
2025-10-22 17:30:00,23602.246937185526
2025-10-22 17:35:00,23602.246937185526
2025-10-22 17:40:00,23602.246937185526
2025-10-22 17:45:00,23602.246937185526
2025-10-22 17:50:00,23602.246937185526
2025-10-22 17:55:00,23602.246937185526
2025-10-22 18:00:00,23602.246937185526
2025-10-22 18:05:00,23602.246937185526
2025-10-22 18:10:00,23602.246937185526
2025-10-22 18:15:00,23602.246937185526
2025-10-22 18:20:00,23602.246937185526
2025-10-22 18:25:00,23602.246937185526
2025-10-22 18:30:00,23602.246937185526
2025-10-22 18:35:00,23602.246937185526
2025-10-22 18:40:00,23602.246937185526
2025-10-22 18:45:00,23602.246937185526
2025-10-22 18:50:00,23602.246937185526
2025-10-22 18:55:00,23602.246937185526
2025-10-22 19:00:00,23602.246937185526
2025-10-22 19:05:00,23602.246937185526
2025-10-22 19:10:00,23602.246937185526
2025-10-22 19:15:00,23602.246937185526
2025-10-22 19:20:00,23602.246937185526
2025-10-22 19:25:00,23602.246937185526
2025-10-22 19:30:00,23602.246937185526
2025-10-22 19:35:00,23602.246937185526
2025-10-22 19:40:00,23602.246937185526
2025-10-22 19:45:00,23602.246937185526
2025-10-22 19:50:00,23602.246937185526
2025-10-22 19:55:00,23602.246937185526
2025-10-22 20:00:00,23602.246937185526
2025-10-22 20:05:00,23602.246937185526
2025-10-22 20:10:00,23602.246937185526
2025-10-22 20:15:00,23602.246937185526
2025-10-22 20:20:00,23602.246937185526
2025-10-22 20:25:00,23602.246937185526
2025-10-22 20:30:00,23602.246937185526
2025-10-22 20:35:00,23602.246937185526
2025-10-22 20:40:00,23602.246937185526
2025-10-22 20:45:00,23602.246937185526
2025-10-22 20:50:00,23602.246937185526
2025-10-22 20:55:00,23602.246937185526
2025-10-22 21:00:00,23602.246937185526
2025-10-22 21:05:00,23602.246937185526
2025-10-22 21:10:00,23602.246937185526
2025-10-22 21:15:00,23602.246937185526
2025-10-22 21:20:00,23602.246937185526
2025-10-22 21:25:00,23602.246937185526
2025-10-22 21:30:00,23602.246937185526
2025-10-22 21:35:00,23602.246937185526
2025-10-22 21:40:00,23602.246937185526
2025-10-22 21:45:00,23602.246937185526
2025-10-22 21:50:00,23602.246937185526
2025-10-22 21:55:00,23602.246937185526
2025-10-22 22:00:00,23602.246937185526
2025-10-22 22:05:00,23602.246937185526
2025-10-22 22:10:00,23602.246937185526
2025-10-22 22:15:00,23602.246937185526
2025-10-22 22:20:00,23602.246937185526
2025-10-22 22:25:00,23602.246937185526
2025-10-22 22:30:00,23602.246937185526
2025-10-22 22:35:00,23602.246937185526
